Loại,Giai đoạn,Số thứ tự,Hạng mục,Hiện trạng,Công việc cần làm,Ưu tiên,Ước lượng,Tiêu chí hoàn thành
Hạng mục,Sprint 1,12,AuditLog API,"Có model nhưng chưa có endpoint quản trị","Thêm list/detail/filter theo actor/action/resource/date",P2,1-2 ngày,"OWNER xem được lịch sử thay đổi trong shop"
Hạng mục,Sprint 1,13,Auth security,"CORS hard-code; chưa có rate limit; session dùng MemoryStore","CORS theo env; rate limit login/refresh; Redis session hoặc stateless rõ ràng; secure cookie",P0,2 ngày,"Auth chịu được brute force cơ bản và scale nhiều instance"
Hạng mục,Sprint 1,14,Password recovery,"Có PasswordResetToken nhưng chưa thấy API đầy đủ","Thêm forgot/reset password và revoke refresh tokens",P1,1-2 ngày,"Luồng quên mật khẩu hoạt động end-to-end"
Hạng mục,Sprint 1,15,Token lifecycle,"Đã có access/refresh token","Thêm rotation, reuse detection và logout all devices",P1,2 ngày,"Token bị lộ không tái sử dụng dài hạn"
Hạng mục,Sprint 2,16,Structured logging,"Có nhiều console.log/debug và nguy cơ lộ body/token","Dùng Pino/Winston; requestId; redaction password/token; log JSON",P0,1-2 ngày,"Log production có trace ID và không lộ dữ liệu nhạy cảm"
Hạng mục,Sprint 2,17,Health check/monitoring,"Chưa có health endpoint và error tracking","Thêm /health/live, /health/ready, Sentry và metrics cần thiết",P1,2 ngày,"Phát hiện DB/Redis/worker lỗi và có cảnh báo"
Hạng mục,Sprint 2,18,Redis cache,"Đã cache staff schedule và có invalidation","Chuẩn hóa namespace/version/TTL; wrapper cache-aside; metrics hit/miss",P1,1-2 ngày,"Không collision và invalidation đúng shop/staff"
Hạng mục,Sprint 2,19,Worker reliability,"Có BullMQ email/staff invite","Retry/backoff; jobId chống trùng; dead-letter; Bull Board bảo vệ",P1,2-3 ngày,"Job lỗi có retry và quan sát được"
Hạng mục,Sprint 2,20,Attendance cron reliability,"Có job chốt ABSENT","Thêm distributed lock Redis; timezone theo shop; chạy bù khi restart",P0,2 ngày,"Nhiều instance không tạo/chốt attendance trùng"
Hạng mục,Sprint 2,21,Database transactions,"Một số service đã dùng transaction","Kiểm tra Mongo replica set; transaction cho booking/payment/payroll/invite",P0,2-3 ngày,"Mutation nhiều collection không dở dang"
Hạng mục,Sprint 2,22,Database indexes,"Có một số unique/index nhưng chưa có query review","Phân tích query và thêm compound index cho off-day/appointment/attendance/payroll",P1,1-2 ngày,"Query list/filter không full collection scan"
Hạng mục,Sprint 2,23,Money representation,"Giá/payroll đang dùng Float","Dùng số nguyên VND hoặc Decimal; migration và rounding policy",P0,2-4 ngày,"Không sai số lương/doanh thu/hoa hồng"
Hạng mục,Sprint 2,24,Date/time strategy,"Server đang đặt timezone cố định Việt Nam","Lưu UTC; shop có timezone; helper xác định business date",P0,2-3 ngày,"Không sai ngày attendance/payroll khi đổi timezone"
Hạng mục,Sprint 3,25,Staff schedule,"Đã có get/update/delete và Redis cache","Thêm effective date, override từng ngày, ngày lễ và kiểm tra overlap",P1,3-4 ngày,"Xác định đúng effective schedule mọi ngày"
Hạng mục,Sprint 3,26,Off-day workflow,"Có request/list/detail/review","Thêm cancel pending; chống overlap; trạng thái và audit đầy đủ",P1,2-3 ngày,"Rule trạng thái rõ ràng và không ảnh hưởng request khác"
Hạng mục,Sprint 3,27,Attendance production-ready,"Đã có QR, manual, history và grace settings","Thêm one-time QR, shift qua đêm, break, OT approval và correction workflow",P1,4-6 ngày,"Attendance đủ dữ liệu tính lương"
Hạng mục,Sprint 3,28,Attendance reconciliation,"Chưa có luồng quên check-out rõ ràng","Flag incomplete; manager review; notification cuối ngày",P1,2 ngày,"Không tự tính lương từ attendance thiếu"
Hạng mục,Sprint 3,29,Payroll config versioning,"Có salary config và service commission","Version hóa effectiveFrom; không sửa hồi tố kỳ đã khóa",P0,3 ngày,"Generate lại cùng dữ liệu cho cùng kết quả"
Hạng mục,Sprint 3,30,Payroll draft lifecycle,"Đã có generate/list/detail/adjust/confirm/pay","Thêm preview, regenerate rule, period lock, breakdown và idempotency",P0,3-5 ngày,"Không tạo trùng kỳ và số liệu truy vết được"
Hạng mục,Sprint 3,31,Payslip,"STAFF đã xem được payroll","Thêm chi tiết phiếu lương, PDF/export và trạng thái đã xem",P1,2-3 ngày,"Staff hiểu từng khoản lương/thưởng/phạt"
Hạng mục,Sprint 4,32,Appointment concurrency,"Có booking/slot nhưng còn type error","Transaction hoặc optimistic lock; idempotency key chống double-book",P0,3-4 ngày,"Concurrent booking không trùng staff/time"
Hạng mục,Sprint 4,33,Appointment lifecycle,"Có tạo và đổi trạng thái","Chuẩn hóa pending/confirmed/in-progress/completed/cancelled/no-show",P1,2-3 ngày,"Không chuyển trạng thái sai quy trình"
Hạng mục,Sprint 4,34,Public booking,"Appointment route hiện yêu cầu thành viên shop","Nếu sản phẩm cho khách tự đặt: public service/slot/booking và OTP chống spam",P1,4-7 ngày,"Khách đặt lịch an toàn không cần staff token"
Hạng mục,Sprint 4,35,Reschedule/cancel,"Chưa thấy endpoint chuyên biệt","Thêm đổi/hủy lịch; cancellation policy; lý do; notification",P1,2-3 ngày,"Slot và promotion cập nhật chính xác"
Hạng mục,Sprint 4,36,Payment,"Có Payment model nhưng chưa có module API đầy đủ","Create payment; webhook verification; refund; reconciliation; idempotency",P1,5-8 ngày,"Webhook giả/trùng không làm sai trạng thái"
Hạng mục,Sprint 4,37,Promotion CRUD,"Có helper áp mã nhưng thiếu CRUD quản trị","CRUD; giới hạn dịch vụ/shop; atomic usage; báo cáo sử dụng",P1,3-4 ngày,"Không vượt maxUses khi concurrent booking"
Hạng mục,Sprint 4,38,Review workflow,"Có model; payroll đọc review","Chỉ khách đã hoàn thành dịch vụ được review; list/moderate",P2,3 ngày,"Review hợp lệ và bonus có nguồn rõ"
Hạng mục,Sprint 4,39,Loyalty points,"Có model nhưng chưa có nghiệp vụ","Ledger tích/đổi điểm; expiry; reversal; không chỉ lưu số dư",P2,4-5 ngày,"Mọi thay đổi điểm truy vết được"
Hạng mục,Sprint 4,40,Notification preferences,"Có DB/socket/queue nhưng chưa có preferences","Thêm kênh nhận; read/unread; email/socket fallback; templates",P1,3-4 ngày,"Không gửi trùng và user kiểm soát kênh"
Hạng mục,Sprint 4,41,Customer CRM,"Có customer module cơ bản","Search; notes; tags; visit history; lifetime value; merge duplicate",P2,3-5 ngày,"Shop quản lý lịch sử khách đầy đủ"
Hạng mục,Sprint 5,42,Reporting,"Mới có báo cáo thu nhập tuần đơn giản","Dashboard doanh thu, utilization, attendance, payroll cost, top service/staff",P1,5-8 ngày,"Số liệu đối chiếu được với transaction gốc"
Hạng mục,Sprint 5,43,Export,"Chưa có export chuẩn","CSV/XLSX cho appointment, attendance, customer, payroll",P2,2-3 ngày,"Export theo filter và quyền được audit"
Hạng mục,Sprint 5,44,Admin system,"Có SUPER_ADMIN nhưng chưa có module rõ ràng","Quản lý shop/user; khóa account; platform audit; support impersonation kiểm soát",P2,4-6 ngày,"Admin thao tác có audit"
Hạng mục,Sprint 6,45,Unit tests,"Chưa thấy test framework/test directory","Dùng Vitest/Jest cho salary formula, schedule, permission, promotion, date helper",P0,4-6 ngày,"Business-critical service đạt coverage mục tiêu 80%"
Hạng mục,Sprint 6,46,Integration tests,"Chưa có API integration test","Test auth→shop→booking→attendance→payroll bằng DB/Redis test",P0,5-8 ngày,"Luồng chính chạy tự động trong CI"
Hạng mục,Sprint 6,47,Load tests,"Chưa có baseline hiệu năng","Dùng k6/Artillery cho slot, booking, QR và list endpoint",P1,2-3 ngày,"Có throughput và p95 latency baseline"
Hạng mục,Sprint 6,48,CI/CD,"Chưa thấy workflow CI","Pipeline lint/typecheck/test/Prisma validate/dependency scan/deploy",P0,2-3 ngày,"PR lỗi không thể merge/deploy"
Hạng mục,Sprint 6,49,Container/deployment,"Chưa thấy Docker setup","Dockerfile multi-stage; API/worker riêng; healthcheck; graceful shutdown",P1,2-3 ngày,"API và worker deploy/scale độc lập"
Hạng mục,Sprint 6,50,Backup/recovery,"Chưa thể hiện backup/restore trong repo","Mongo backup; restore drill; Redis không là nguồn dữ liệu duy nhất",P0,1-2 ngày cấu hình,"Có RPO/RTO và thử restore thành công"
Hạng mục,Sprint 6,51,Dependency/security scan,"Chưa cấu hình tự động","Dependabot/Renovate; npm audit; secret scan; SBOM nếu cần",P1,1 ngày,"Phát hiện dependency/secret có rủi ro"
Sprint,Thứ tự triển khai,0,Sprint 0 - Stabilization,"Prisma/build chưa ổn định","Hoàn tất Prisma, TypeScript build, encoding và source hygiene",P0,1 tuần,"Build xanh"
Sprint,Thứ tự triển khai,1,Sprint 1 - API foundation,"Thiếu contract/error/RBAC/security đồng nhất","Global error, response, validation, RBAC, auth security, OpenAPI",P0,1-2 tuần,"API contract ổn định và kiểm soát quyền"
Sprint,Thứ tự triển khai,2,Sprint 2 - Reliability,"Thiếu quan sát và chống lỗi phân tán","Logging, monitoring, Redis, worker, cron, transaction, index, money, timezone",P0,1-2 tuần,"Hệ thống có thể vận hành an toàn"
Sprint,Thứ tự triển khai,3,Sprint 3 - Workforce/payroll,"Lịch, attendance và payroll cần production-ready","Hoàn thiện schedule, off-day, attendance và payroll lifecycle",P0,2 tuần,"Tính công/lương đáng tin cậy"
Sprint,Thứ tự triển khai,4,Sprint 4 - Booking commerce,"Booking chưa chống cạnh tranh và thiếu commerce","Concurrency, lifecycle, public booking, payment, promotion, review, loyalty, notification",P1,2-3 tuần,"Khách đặt và thanh toán trọn luồng"
Sprint,Thứ tự triển khai,5,Sprint 5 - Insights/admin,"Thiếu báo cáo và quản trị platform","Reporting, export và admin system",P1,2 tuần,"Owner/Support có dữ liệu vận hành"
Sprint,Thứ tự triển khai,6,Sprint 6 - Release readiness,"Chưa có kiểm thử/deploy/recovery chuẩn","Unit/integration/load test, CI/CD, container, backup, security scan",P0,2 tuần,"Đủ điều kiện release production"
