Method,Endpoint,Handler,Controller File,Response
PATCH,/api/shops/:shopSlug/attendance/check-in,checkInController,src/controller/staff/attendace.controller.ts,"res.status(200).json({ success: true, data: attendance });"
GET,/api/shops/:shopSlug/attendance/qr/check-in,getCheckInQRController,src/controller/staff/attendace.controller.ts,"res.status(200).json({ success: true, data: qr });"
GET,/api/shops/:shopSlug/attendance/qr/check-out,getCheckOutQRController,src/controller/staff/attendace.controller.ts,"res.status(200).json({ success: true, data: qr });"
POST,/api/shops/:shopSlug/attendance/qr-check-in,qrCheckInController,src/controller/staff/attendace.controller.ts,"res.status(200).json({ success: true, data: attendance });"
POST,/api/shops/:shopSlug/attendance/qr-check-out,qrCheckOutController,src/controller/staff/attendace.controller.ts,"res.status(200).json({ success: true, data: attendance });"
POST,/api/shops/:shopSlug/services/,createServiceController,src/controller/service/service.controller.ts,"res.status(201).json({ success: true, data: result });"
GET,/api/shops/:shopSlug/services/,getSerivceController,src/controller/service/service.controller.ts,"res.status(200).json({ success: true, data: result });"
GET,/api/shops/:shopSlug/services/count,countServiceController,src/controller/service/service.controller.ts,"res.status(200).json({ success: true, data: result });"
POST,/api/shops/:shopSlug/services/categories,createCategoryController,src/controller/service/category.controller.ts,"res.status(201).json({ success: true, data: result });"
GET,/api/shops/:shopSlug/services/categories,getCategoriesController,src/controller/service/category.controller.ts,"res.status(200).json({ success: true, data: result });"
GET,/api/shops/:shopSlug/services/categories/:id,getCategoryByIdController,src/controller/service/category.controller.ts,"res.status(200).json({ success: true, data: result });"
DELETE,/api/shops/:shopSlug/services/categories/:id,deleteCategoryController,src/controller/service/category.controller.ts,"res.status(200).json({ success: true, data: result });"
PATCH,/api/shops/:shopSlug/services/categories/:id,updateCategoryController,src/controller/service/category.controller.ts,"res.status(200).json({ success: true, data: result });"
GET,/api/shops/:shopSlug/services/addons/,getAddonsController,src/controller/service/addon.controller.ts,"res.status(200).json({ success: true, data: result });"
GET,/api/shops/:shopSlug/services/addons/:addonId,getAddonByIdController,src/controller/service/addon.controller.ts,"res.status(200).json({ success: true, data: result });"
POST,/api/shops/:shopSlug/services/addons/,createAddonController,src/controller/service/addon.controller.ts,"res.status(201).json({ success: true, data: result });"
PATCH,/api/shops/:shopSlug/services/addons/:addonId,updateAddonController,src/controller/service/addon.controller.ts,"res.status(200).json({ success: true, data: result });"
DELETE,/api/shops/:shopSlug/services/addons/:addonId,deleteAddonController,src/controller/service/addon.controller.ts,"res.status(200).json({ success: true, message: 'Xóa addon thành công' });"
GET,/api/shops/:shopSlug/services/packages/,getServicePackagesController,src/controller/service/servicePackage.controller.ts,"res.status(200).json({ success: true, data: result });"
GET,/api/shops/:shopSlug/services/packages/:packageId,getServicePackageByIdController,src/controller/service/servicePackage.controller.ts,"res.status(200).json({ success: true, data: result });"
POST,/api/shops/:shopSlug/services/packages/,createServicePackageController,src/controller/service/servicePackage.controller.ts,"res.status(201).json({ success: true, data: result });"
PATCH,/api/shops/:shopSlug/services/packages/:packageId,updateServicePackageController,src/controller/service/servicePackage.controller.ts,"res.status(200).json({ success: true, data: result });"
DELETE,/api/shops/:shopSlug/services/packages/:packageId,deleteServicePackageController,src/controller/service/servicePackage.controller.ts,"res.status(200).json({ success: true, message: 'Xóa package thành công' });"
GET,/api/shops/:shopSlug/services/:serviceId/options/,getServiceOptionsController,src/controller/service/serviceOption.controller.ts,"res.status(200).json({ success: true, data: result });"
GET,/api/shops/:shopSlug/services/:serviceId/options/:optionId,getServiceOptionByIdController,src/controller/service/serviceOption.controller.ts,"res.status(200).json({ success: true, data: result });"
POST,/api/shops/:shopSlug/services/:serviceId/options/,createServiceOptionController,src/controller/service/serviceOption.controller.ts,"res.status(201).json({ success: true, data: result });"
PATCH,/api/shops/:shopSlug/services/:serviceId/options/:optionId,updateServiceOptionCtrl,src/controller/service/serviceOption.controller.ts,"res.status(200).json({ success: true, data: result });"
DELETE,/api/shops/:shopSlug/services/:serviceId/options/:optionId,deleteServiceOptionController,src/controller/service/serviceOption.controller.ts,"res.status(200).json({ success: true, message: 'Xóa option thành công' });"
GET,/api/shops/:shopSlug/services/:serviceId,getServiceByIdController,src/controller/service/service.controller.ts,"res.status(200).json({ success: true, data: result });"
PATCH,/api/shops/:shopSlug/services/:serviceId,updateServiceController,src/controller/service/service.controller.ts,"res.status(200).json({ success: true, data: result });"
GET,/api/shops/:shopSlug/notifications/,getListNotificationController,src/controller/notification/nofitication.controller.ts,"res.status(200).json({ success: true, data: result });"
PATCH,/api/shops/:shopSlug/notifications/:id,markReadController,src/controller/notification/nofitication.controller.ts,"res.status(200).json({ success: true, data: result });"
DELETE,/api/shops/:shopSlug/notifications/:id,deleteNotificationController,src/controller/notification/nofitication.controller.ts,"res.status(200).json({ success: true, data: result });"
GET,/api/shops/:shopSlug/calendar/slots,getAvailableSlotsController,src/controller/calendar/calendar.controller.ts,"res.status(200).json({ success: true, data: slots });"
GET,/api/shops/:shopSlug/calendar/all-slots,getAllSlotsController,src/controller/calendar/calendar.controller.ts,"res.status(200).json({ success: true, data: slots });"
GET,/api/shops/:shopSlug/calendar/time-slots,getTimeSlotsController,src/controller/calendar/calendar.controller.ts,"res.status(200).json({ success: true, data: slots });"
GET,/api/shops/:shopSlug/calendar/appointments,getAppointmentsWithSlotsController,src/controller/calendar/calendar.controller.ts,"res.status(200).json({ success: true, data });"
GET,/api/shops/:shopSlug/calendar/month,getMonthAvailabilityController,src/controller/calendar/calendar.controller.ts,"res.status(200).json({ success: true, data: availability });"
POST,/api/shops/:shopSlug/appointments/,createAppointmentController,src/controller/appointment/appointment.controller.ts,"res.status(201).json({ success: true, data: appointment, message: ""Đặt lịch thành công"", });"
GET,/api/shops/:shopSlug/appointments/,getAppointmentsByShopIdController,src/controller/appointment/appointment.controller.ts,"res.status(200).json({ success: true, data: appointments, });"
GET,/api/shops/:shopSlug/appointments/day,getAppointmentsByDayController,src/controller/appointment/appointment.controller.ts,"res.status(200).json({ success: true, data: appointments, });"
PUT,/api/shops/:shopSlug/appointments/:appointmentId,changeAppointmentStatusController,src/controller/appointment/appointment.controller.ts,"res.status(200).json({ success: true, data: appointment, });"
GET,/api/shops/:shopSlug/appointments/income/weekly,getIncomeByDayWeeklyController,src/controller/appointment/appointment.controller.ts,"res.status(200).json({ success: true, data: income, });"
PUT,/api/shops/:shopSlug/appointments/all/done,markAllAppointmentsAsDoneController,src/controller/appointment/appointment.controller.ts,"res.status(200).json({ success: true, data: result, message: ""Đã cập nhật tất cả lịch hẹn thành DONE"", });"
GET,/api/shops/:shopSlug/customers/top,getTopCustomerController,src/controller/customer/customer.controller.ts,"res.status(200).json({ success: true, data: customers, });"
